Review_ID,Rating,Reviewer_Location,Review_Text,Branch,Year,Month,Sentiment,Sentiment_Label
465132172,3,Canada,"We're a couple in our mid 20s, and recently did a road trip down from Vancouver to LA to do the 'typical tourist things', which for us included Disneyland, Universal Studios and Six Flags Magic Mountain. We're very much into adrenaline filled thrill rides so we figured Magic Mountain would be our favourite, but we wanted to do all the others anyway as we'd travelled a long way to be there and had heard good things about them all. As expected our favourite rides were definitely at Magic Mountain, we loved our time at Universal Studios but we wouldn't really rave about Disneyland as it was more about 'the experience' than the rides which didn't interest us as much. There were a few things though that I would have fund helpful to know in advance, so I've written a bit of a summary below   hope it helps someone!DISNEYLAND: We went on a Wednesday during February so we figured it wasn't going to be too busy, but unfortunately it was the week of President's Day and turns out half the schools in California get the whole week off, so it was absolutely packed! (We just went to Disneyland Park, not California Adventure). It took us an hour just to get through the security line, and then the lines for all the decent rides were between 50 90 minutes. No one had told us that the FastPass was free, so we spent a very frustrating day being overtaken by people in the queue that had these Fast Passes, only to be told at the end of the day as we were leaving that it's free for anyone! It's only available for certain rides, but I would 100% recommend using it if you can   will save you loads of waiting time! Our favourite rides were the Hyperspace Mountain, Indiana Jones and Splash Mountain, as unfortunately the Bobsleds and the Grizzly River Run were closed. The park was very clean and the staff were friendly. Loads of families and people pushing strollers around   definitely more of a place for families and children than for a couple like us, but our day would have been dramatically better if we'd known about the FastPass. UNIVERSAL STUDIOS: We loved our day here   it provided a really nice balance between theme park rides as well as 'the movie experience' which we found more interesting than 'the Disney experience'. We are both big fans of Harry Potter so we really loved the wizarding world they had created there We were there on a Thursday and it wasn't too busy at all   the longest queue we waited in was about 25 minutes, so we had plenty of time to do all the rides at least once, and quite a few more than once. Our favourite rides were Revenge of the Mummy, The Simpsons Ride and Harry Potter & the Forbidden Journey. I'd recommend bringing a day pack that isn't too large, as for Revenge of the Mummy you have to check your bags into lockers, and the smaller ones are the only free ones. We downloaded the Universal Studios App which was helpful, and they have free wifi there too which was a bonus for travellers. The Studio Tour was really interesting, and the Special Effects Demonstration and the Animals Demonstration are definitely worth going to. It's not a cheap day, but we had no regrets and would 100% recommend this place to anyone else like us. SIX FLAGS MAGIC MOUNTAIN: We went here on a Saturday as it's only open on weekends during the off season. We arrived super early so we were at the front of the queue when the gates opened, and raced straight to X2 as we heard that was one of the best   unfortunately the ride wasn't operating yet, so despite waiting for about 15 minute we ended up having to leave and go find another ride. The day was plagued with ride closures (this was a comment we'd read on lots of other people's reviews so it's obviously an ongoing issue for them) but the app was super helpful as it gave us approximate wait times and up to date information on which rides had been closed. We absolutely loved all the rides we went on though, and although the closures were frustrating the waits were definitely worth it! Favourite rides for us were the Twisted Colossus, X2, Superman and Goliath, but to be honest we didn't find a single ride we didn't like. We didn't get the FlashPass as we didn't think it was worth another $40 each, however if you're going during the summer I definitely would spend the extra money and get it. All up, we could have happily spent a couple more days here and never got bored, so if you like thrill rides then definitely include a day here in your itinerary! If we got to do our whole trip again we would have skipped the day at Disneyland and done 2 days at Magic Mountain instead.",Disneyland_California,2017,2,0.9994,Positive
405689390,5,United States,"We went with our 13 month old who loved the music and looking around. She enjoyed walking around Minnie's house and Tarzan's Treehouse. She lvoed Mickey's show. The majority of the rides were overwhelming for her, but using a combination of Fastpass and Rider Switch allowed my husband and me to have fun. ",Disneyland_California,2016,8,0.8422,Positive
301828079,5,United States,Happiest place on earth!  Took the small kiddos on their first family vacation and they loved it.  Can't wait to go again after the new Star Wars land opens!,Disneyland_California,2015,8,0.7256,Positive
412083901,5,Canada,"We loved our first trip to California Adventure Park and Disneyland! It was hot and busy and there were some long lineups, but the fast pass is awesome! Be sure to take advantage of that. Customer service was great! The rides are super. Bring lots of water and some snacks .. food and drinks are a bit pricey.",Disneyland_California,2016,8,0.9819,Positive
256987355,5,United States,"I moved to California about two and a half months ago and my husband told me that getting a Disneypass was a must. I had never been prior to me getting the passes so I didn't really think much of it. Disneyland has a lovely vibe! Some of the rides were closed when we were there because of the season and because a lot of rides do renovations. It is usually crowded (I have been twice). It's always a good time when you go no matter who you're with. Next time we go, we plan to bring our own drinks and food.",Disneyland_California,2015,1,0.7088,Positive
469684063,1,United States,"The kids had a great time BUT what they missed was the old days of getting to ride on ALMOST every ride. They must of had the park filled to compacity as it was PACKED. Wall to wall people and very hard to move. We got to ride on a total of 3 rides (with 2 of them Fast Track). How can a family nowadays afford to pay $600 (with gas, food, parking, etc) and go on 3 rides and say it was a successful day? That's $35 a ride. Disneyland has forgotten what it was originally built for   familys to have fun and enjoy the day. What a rip......",Disneyland_California,2017,3,0.8936,Positive
285673931,4,United States,Went to park adventures and was not disappointed   Few rides but great shows including color of the world water show along with Aladdin  And frozen sing along   Kids loved it as usual   July 4 th fireworks were disappointment compared to any of money they charge,Disneyland_California,2015,7,0.8758,Positive
653729947,5,United States,"This was a trip that I wanted to do all of my life. Disneyland was very fun and the lines were not too long, granted it rained the day I was there. Mr. Toad's Adventure is fantastic and I recommend going on more than once if possible. This was one of my favourite stories as a child.Also highly recommend the Rose Tavern, delicious food and cozy interior.",Disneyland_California,2019,2,0.9473,Positive
294226171,3,United States,"I would never have gone in July if it had not been for a reunion with my BFF from high school. I felt the park capacity was way past the danger level.. Does greed trump safety??? I guess so... Plus unless you stake out a claim on a piece of sidewalk, there is no viewing room to watch the Paint The Night parade. People place clothes, towels, blankets, bags, just about anything to save a spot, then they are off doing whatever, then get all ticked off when they come back and find others are standing too close to  their spot ! It's ludicrous and so not worth the stress and tension. If you do choose to go in the summer and during the 60th celebration, I suggest you plan minimum of three days, otherwise I doubt you will be able to do even half of the attractions. I will return during the off season and after the 60th.. Good luck to you all...",Disneyland_California,2015,7,0.6313,Positive
335953827,5,Australia,"This was our second visit with our boys 15 and 13 and third for hubby and I. We love Disneyland so much and were lucky to have the chance to visit again only 2 1 2 years after our last visit. Even though our boys were older, they still loved it. We noticed a few changes, Big Thunder Mountain was closed on our last visit so we were happy we could ride it this time. We booked for October, reading it was a quiet time...boy were we WRONG! It was busier than our last summertime visit in June! Lines were long and the weather was hot. We still felt the magic though, finding ways to beat the crowd with fast passes and timing and cooling off with the shops and icecreams!We went to the Halloween party and that made up for any frustration we felt over crowding. It was so well planned and enjoyable from the delightful 'candy stations', fireworks, characters and decorations. We have never, and probably will never go to another Halloween party as good as this one. Lines were short and atmosphere intoxicating! So many great costumes to look at. We had a blast!Disney will always capture our hearts and we are eagerly saving up for our next visit...a few years away yet and even though the boys will be grown up, they still want to return!",Disneyland_California,2015,10,0.9883,Positive
